Revenue,Expenses,Profit,Assets,Liabilities,Debt_Ratio,Market_Cap,Share_Price,Industry,Region,Company_Size,Listing_Status
795578.81,740288.06,55290.75,580111.13,260439.72,0.45,15269904.74,154.22,Manufacturing,North America,Large,Listed
396345.96,136707.51,259638.45,1260382.27,916758.54,0.73,11511527.58,75.04,Manufacturing,Europe,Medium,Private
338301.28,48566.83,289734.45,1064466.96,760712.26,0.71,10185956.06,134.59,Technology,Europe,Medium,Listed
399648.59,230268.58,169380.01,1115496.47,177266.27,0.16,13684460.33,171.93,Manufacturing,North America,Medium,Private
683080.42,536413.09,146667.33,1013645.86,110605.46,0.11,9230155.01,186.62,Healthcare,South America,Small,Private
565750.22,372605.25,193144.97,997963.64,725182.45,0.73,19066877.36,159.93,Manufacturing,Asia,Medium,Private
394047.96,203423.15,190624.81,1041172.26,219044.02,0.21,9847804.22,176.38,Manufacturing,Europe,Medium,Private
602653.49,352877.56,249775.93,577585.93,324737.09,0.56,19093671.11,143.0,Retail,South America,Large,Listed
519415.51,316683.54,202731.97,908429.21,159335.7,0.18,13023238.44,143.13,Manufacturing,Africa,Large,Private
693729.0,533360.14,160368.86,502358.15,168997.76,0.34,-1905803.18,314.67,Technology,North America,Small,Private
359589.38,225509.85,134079.53,752161.42,170311.78,0.23,5050503.01,119.91,Healthcare,Europe,Large,Listed
434467.57,191185.86,243281.71,1478362.0,1018762.16,0.69,14248310.02,87.04,Technology,South America,Small,Listed
421578.37,191602.81,229975.56,927699.08,592038.57,0.64,5407535.76,128.11,Manufacturing,Europe,Large,Listed
207297.01,-45730.98,253027.99,1238335.79,257876.47,0.21,3218134.57,144.57,Finance,Europe,Large,Private
559224.06,407633.4,151590.66,1046117.82,154265.01,0.15,16420535.28,71.68,Finance,North America,Medium,Private
552211.05,260289.21,291921.84,846043.33,400236.2,0.47,2058901.6,175.07,Finance,Asia,Small,Private
501022.69,388207.42,112815.27,596572.52,152984.08,0.26,13889823.98,119.51,Healthcare,Asia,Medium,Listed
453082.57,217602.52,235480.05,839977.74,89469.08,0.11,8183537.81,34.35,Finance,South America,Medium,Private
216925.85,112404.99,104520.86,1073271.38,334236.23,0.31,13511531.02,148.97,Manufacturing,North America,Small,Private
415870.94,255387.51,160483.43,1232061.38,335360.88,0.27,11332950.37,109.39,Retail,Asia,Small,Private
431457.1,153405.95,278051.15,1048934.75,679675.52,0.65,-365965.35,200.7,Healthcare,South America,Small,Private
339544.55,97976.34,241568.21,1259792.13,993586.04,0.79,8425289.87,99.48,Technology,South America,Large,Private
467742.86,295053.88,172688.98,391931.96,113703.82,0.29,8779142.66,122.94,Healthcare,South America,Small,Private
580810.17,406752.02,174058.15,1346665.02,374963.0,0.28,12045364.87,167.25,Technology,Europe,Large,Private
877237.18,672206.07,205031.11,548697.46,225082.87,0.41,11592593.42,131.55,Technology,South America,Small,Listed
534915.56,309208.51,225707.05,1393401.85,331693.89,0.24,8774183.28,102.77,Technology,Africa,Small,Private
551510.08,288931.11,262578.97,1200962.34,1029767.6,0.86,4329377.88,102.62,Finance,Africa,Small,Private
485110.82,307922.52,177188.3,251924.18,74272.6,0.29,12405558.33,210.0,Manufacturing,Africa,Large,Private
116245.76,-3164.99,119410.75,1294785.13,226151.43,0.17,14355794.69,123.26,Manufacturing,Africa,Medium,Listed
494697.22,286848.79,207848.43,1398038.94,762645.67,0.55,11654138.44,89.9,Healthcare,Europe,Medium,Private
512046.04,334917.58,177128.46,1503151.38,796813.99,0.53,8902693.59,137.4,Finance,Africa,Small,Private
992648.42,857680.11,134968.31,692560.69,419367.2,0.61,8147804.13,142.7,Healthcare,North America,Large,Listed
461527.81,246644.36,214883.45,1071764.34,936038.3,0.87,5411337.55,178.73,Finance,South America,Medium,Listed
560309.47,370965.16,189344.31,1277779.75,458454.27,0.36,11242019.35,85.79,Manufacturing,South America,Large,Listed
493057.65,277732.04,215325.61,1294530.75,501834.04,0.39,10958529.66,234.97,Manufacturing,South America,Medium,Listed
266264.39,110986.6,155277.79,1163808.3,430181.2,0.37,14181046.68,122.92,Manufacturing,North America,Small,Listed
728564.56,504229.03,224335.53,829345.5,500015.49,0.6,6885411.81,236.35,Manufacturing,Africa,Medium,Private
650386.61,516241.52,134145.09,1395177.5,813744.58,0.58,10596022.4,160.15,Manufacturing,Africa,Large,Listed
658206.39,499592.96,158613.43,1397527.99,730970.94,0.52,3419502.44,178.36,Technology,Europe,Large,Private
318122.51,130268.22,187854.29,938288.68,367303.21,0.39,8302704.99,191.31,Finance,Europe,Medium,Private
780558.86,493467.94,287090.92,686578.08,303549.71,0.44,7191214.08,129.28,Retail,Europe,Medium,Listed
219629.79,-19611.48,239241.27,708838.66,520291.66,0.73,15288179.9,82.17,Finance,Asia,Large,Listed
617371.42,363511.79,253859.63,1545927.09,908073.52,0.59,18531802.15,185.86,Technology,Europe,Large,Private
938091.13,667237.28,270853.85,1380271.35,928986.5,0.67,4118240.3,258.48,Healthcare,South America,Large,Private
301892.73,-78248.88,380141.61,991984.09,318807.59,0.32,14538372.46,150.54,Healthcare,Africa,Large,Listed
386740.45,184661.0,202079.45,920330.72,763132.41,0.83,13402793.43,152.83,Finance,Asia,Small,Listed
519930.27,248910.22,271020.05,292725.3,37506.94,0.13,7254959.82,166.66,Finance,Asia,Large,Private
399304.87,148673.11,250631.76,966239.56,557092.67,0.58,6241205.93,76.99,Retail,Asia,Large,Private
189867.31,-59934.32,249801.63,523553.94,392602.65,0.75,6177845.61,208.83,Technology,Europe,Medium,Listed
513712.59,225000.61,288711.98,1063599.79,843464.82,0.79,8113066.53,87.92,Retail,North America,Small,Private
287539.26,108504.91,179034.35,1474098.9,524250.57,0.36,8206056.53,224.78,Retail,Asia,Large,Listed
594718.49,419652.74,175065.75,607819.38,284338.33,0.47,9235792.63,163.06,Finance,Asia,Small,Private
316115.15,100126.87,215988.28,1095434.7,140118.51,0.13,7450252.26,213.99,Manufacturing,Europe,Large,Listed
809986.88,619121.87,190865.01,1399111.9,1023887.34,0.73,14029805.85,60.78,Retail,Africa,Medium,Listed
343349.34,127424.3,215925.04,1088118.16,217251.05,0.2,12543936.99,193.94,Manufacturing,South America,Small,Private
435587.7,157450.26,278137.44,790406.82,349727.46,0.44,9133836.81,159.45,Technology,Africa,Large,Listed
662703.44,486610.78,176092.66,1004154.56,896355.76,0.89,7302802.56,137.5,Healthcare,Africa,Medium,Listed
253827.14,69061.09,184766.05,1382899.48,1153600.63,0.83,7169316.82,207.33,Manufacturing,Asia,Small,Listed
545491.99,336776.44,208715.55,1105031.14,402252.17,0.36,12193757.25,188.89,Manufacturing,Asia,Small,Listed
761428.55,572844.47,188584.08,998651.77,278728.18,0.28,10280875.06,158.89,Retail,Africa,Small,Listed
178503.35,74203.64,104299.71,1462457.25,440717.31,0.3,10993739.16,41.76,Finance,Asia,Large,Listed
536926.77,365933.15,170993.62,1205967.15,781259.92,0.65,14291978.47,133.97,Retail,Asia,Medium,Private
551976.56,317607.9,234368.66,518839.03,353141.47,0.68,9728403.04,195.31,Technology,South America,Small,Private
656364.57,384487.23,271877.34,1252565.06,342193.84,0.27,16850875.5,118.69,Finance,South America,Large,Listed
252609.86,110340.79,142269.07,1379823.5,402897.38,0.29,-12011.52,165.18,Finance,Asia,Large,Private
235908.68,93872.8,142035.88,505073.45,181175.54,0.36,3424357.88,182.55,Finance,Africa,Small,Private
604388.31,402876.62,201511.69,92504.2,41307.05,0.45,19050432.54,212.9,Finance,Asia,Medium,Private
559396.93,463176.68,96220.25,583226.93,486397.67,0.83,8011275.86,161.09,Manufacturing,North America,Small,Private
550098.57,372347.08,177751.49,959000.12,116236.83,0.12,11481296.35,103.92,Technology,South America,Small,Private
569289.64,456091.74,113197.9,1403915.34,857171.61,0.61,16265609.07,211.87,Manufacturing,North America,Large,Listed
363995.06,95542.0,268453.06,643619.19,508046.01,0.79,11716246.77,137.97,Healthcare,Africa,Small,Listed
546450.74,384917.3,161533.44,1222048.11,829392.91,0.68,14565060.44,175.75,Manufacturing,Africa,Large,Listed
558614.49,275972.78,282641.71,-156952.45,-42909.81,0.27,13078100.83,118.03,Healthcare,Africa,Large,Private
357129.72,101453.65,255676.07,1072122.69,516116.99,0.48,14914600.84,85.04,Technology,Europe,Large,Listed
873154.9,705470.76,167684.14,837303.82,693475.51,0.83,12465106.94,87.54,Retail,North America,Small,Listed
594766.58,448364.56,146402.02,1839439.51,354228.17,0.19,13655644.45,221.06,Finance,Europe,Large,Listed
261739.3,71416.59,190322.71,243165.49,216419.46,0.89,7100332.26,148.02,Technology,Asia,Medium,Private
631310.72,436543.05,194767.67,994199.41,213652.4,0.21,12615405.4,186.34,Finance,North America,Large,Listed
305063.67,87756.32,217307.35,240711.46,51496.37,0.21,9797692.25,253.11,Finance,South America,Large,Listed
657416.92,496244.08,161172.84,780116.91,585311.93,0.75,9564727.75,196.81,Retail,Europe,Medium,Listed
731719.12,494399.38,237319.74,319538.01,243704.36,0.76,1604106.15,244.96,Technology,North America,Medium,Listed
335863.54,122597.14,213266.4,1920315.5,250284.18,0.13,7891926.04,97.4,Manufacturing,North America,Small,Listed
692675.23,509694.99,182980.24,857780.85,201273.41,0.23,9328097.76,150.22,Manufacturing,Africa,Large,Private
582556.19,418158.22,164397.97,915588.2,786327.4,0.86,17778313.65,105.56,Manufacturing,Europe,Small,Private
664412.03,473656.28,190755.75,982906.51,317946.87,0.32,8603408.88,96.65,Technology,Asia,Medium,Listed
879358.6,720203.66,159154.94,547089.28,60065.88,0.11,11414366.02,119.6,Manufacturing,Asia,Small,Private
450922.38,248000.45,202921.93,1422095.49,431227.25,0.3,16876693.19,112.67,Technology,South America,Medium,Listed
349252.77,144980.84,204271.93,1256077.66,864616.1,0.69,3811653.02,120.65,Manufacturing,Asia,Large,Private
322097.11,109011.75,213085.36,1367175.35,1139079.51,0.83,8085032.05,154.38,Healthcare,Asia,Small,Private
336837.94,48525.82,288312.12,512815.25,114934.86,0.22,14398200.56,166.16,Manufacturing,Africa,Large,Listed
484579.66,291201.9,193377.76,1454126.09,406473.4,0.28,22346509.22,198.76,Finance,Africa,Medium,Private
568230.39,318000.5,250229.89,1407936.51,638112.09,0.45,74708.84,178.25,Finance,Asia,Small,Listed
555338.16,343858.79,211479.37,907042.79,633698.08,0.7,9413506.65,247.74,Retail,North America,Small,Private
665436.65,477348.87,188087.78,1358008.43,851413.73,0.63,13141038.63,255.64,Retail,Africa,Small,Private
502600.38,308558.34,194042.04,1109068.65,401512.65,0.36,14205316.77,125.33,Manufacturing,South America,Small,Listed
790706.82,593648.14,197058.68,362400.19,55476.75,0.15,21230560.82,162.67,Healthcare,North America,Medium,Listed
447068.63,233080.24,213988.39,926877.64,280258.62,0.3,6774238.68,151.02,Retail,North America,Medium,Listed
1044033.83,891999.87,152033.96,807395.98,222559.28,0.28,8824988.94,99.09,Technology,Europe,Large,Private
625133.47,498400.49,126732.98,1034167.72,120835.27,0.12,1859557.74,195.84,Finance,Africa,Small,Private
328568.49,95853.62,232714.87,1408450.52,1239481.5,0.88,10640592.1,191.3,Finance,Asia,Large,Listed
285821.5,40915.31,244906.19,343463.47,104514.98,0.3,12555748.4,185.21,Technology,North America,Medium,Private
596494.48,359212.69,237281.79,822568.84,632743.01,0.77,20460201.93,196.9,Manufacturing,Asia,Small,Private
455307.44,247558.84,207748.6,671265.03,327503.02,0.49,18519829.41,118.89,Technology,Africa,Small,Private
642800.1,404438.87,238361.23,688443.48,604338.13,0.88,17581057.35,215.58,Retail,Europe,Small,Private
594647.52,358976.07,235671.45,670756.38,147326.61,0.22,6523474.04,213.04,Manufacturing,South America,Medium,Private
485434.22,246052.75,239381.47,1027268.14,193679.62,0.19,12131615.35,42.53,Finance,South America,Large,Listed
330641.26,173618.3,157022.96,1209270.18,123309.69,0.1,11945820.44,128.24,Retail,North America,Small,Listed
197030.56,51878.15,145152.41,1139329.98,768771.64,0.67,12335546.36,174.98,Healthcare,South America,Small,Private
410697.01,230125.47,180571.54,1074267.28,370730.73,0.35,9787085.58,293.37,Healthcare,South America,Large,Private
671279.76,472148.97,199130.79,1248697.8,994318.03,0.8,15654620.54,163.18,Finance,Asia,Large,Private
542818.75,354914.81,187903.94,1952130.45,1185028.85,0.61,8220458.03,166.99,Finance,Africa,Medium,Listed
250852.24,144686.76,106165.48,1054356.57,592490.94,0.56,11647144.49,137.35,Technology,South America,Large,Listed
534636.19,248551.56,286084.63,1408455.36,689457.53,0.49,17266066.38,146.17,Retail,South America,Large,Private
577063.48,390765.78,186297.7,1385673.37,424762.81,0.31,20767882.65,227.1,Technology,Africa,Small,Listed
323228.51,114593.29,208635.22,1711117.67,259663.52,0.15,5856451.44,155.59,Healthcare,North America,Large,Listed
530745.02,268517.57,262227.45,1224207.55,556836.17,0.45,12753093.48,224.77,Technology,Asia,Large,Private
511641.74,428890.35,82751.39,662273.53,118742.81,0.18,12271787.78,139.4,Finance,North America,Small,Listed
271405.94,96990.63,174415.31,1121952.77,925145.32,0.82,16099414.22,170.83,Finance,South America,Medium,Private
571557.47,390913.33,180644.14,1100455.5,840157.38,0.76,18167955.2,59.82,Retail,South America,Large,Listed
612156.91,428972.41,183184.5,1326073.04,790086.29,0.6,8332663.38,121.39,Retail,North America,Large,Listed
716610.25,525284.58,191325.67,650641.33,300564.9,0.46,9622191.89,134.86,Technology,Asia,Small,Private
710760.41,438403.67,272356.74,1506528.43,698059.47,0.46,10366130.65,147.81,Technology,North America,Large,Listed
224466.13,-9206.81,233672.94,1002094.86,472600.02,0.47,12393473.82,144.73,Manufacturing,North America,Medium,Listed
312434.99,64533.23,247901.76,1335751.7,930178.09,0.7,14134363.86,142.48,Manufacturing,North America,Medium,Private
603007.05,400651.04,202356.01,1123869.26,225857.32,0.2,8123462.89,212.84,Healthcare,South America,Small,Private
602757.19,472725.84,130031.35,1049036.31,550782.49,0.53,19285009.17,127.56,Retail,Europe,Large,Listed
603009.54,506994.39,96015.15,1093542.56,820302.72,0.75,853875.56,182.67,Finance,Asia,Medium,Listed
1270546.3,1147016.69,123529.61,1268796.8,644676.54,0.51,4028903.98,152.27,Finance,Europe,Small,Private
614178.1,396189.81,217988.29,1783461.92,197951.76,0.11,13038333.91,134.58,Retail,North America,Medium,Private
727113.13,525524.64,201588.49,193049.05,57094.73,0.3,9178746.17,257.19,Healthcare,Africa,Small,Private
690800.35,501308.53,189491.82,1216001.18,771999.89,0.63,7169864.73,181.21,Retail,South America,Medium,Listed
630278.25,448707.1,181571.15,1017587.12,862262.28,0.85,14797498.06,144.09,Healthcare,Africa,Medium,Private
436946.15,136360.07,300586.08,929157.37,757261.83,0.81,14062909.13,181.36,Technology,Africa,Medium,Listed
651793.84,492939.02,158854.82,54688.71,41463.01,0.76,16245949.86,179.41,Healthcare,North America,Small,Private
345434.96,99043.99,246390.97,1232083.07,1059753.25,0.86,4821920.57,145.52,Healthcare,North America,Large,Private
452636.28,252540.63,200095.65,950011.75,307741.38,0.32,14063059.86,101.08,Technology,Africa,Small,Private
402927.29,205974.27,196953.02,666228.61,73230.61,0.11,14010643.21,131.01,Finance,Africa,Small,Private
516374.83,257542.95,258831.88,1016991.99,390016.1,0.38,4962631.79,-4.38,Finance,Africa,Large,Private
962931.71,689805.19,273126.52,882883.91,495835.37,0.56,10196621.85,118.91,Manufacturing,Europe,Large,Listed
126546.96,-61475.57,188022.53,303042.73,107026.45,0.35,14844121.61,182.94,Manufacturing,South America,Medium,Private
637252.04,397291.9,239960.14,1035273.89,140137.79,0.14,16710890.95,164.87,Finance,North America,Medium,Listed
177456.83,-40737.74,218194.57,1232029.41,623098.37,0.51,9265910.9,136.68,Manufacturing,Asia,Small,Private
405613.63,205241.77,200371.86,780306.63,202690.18,0.26,4506120.25,173.98,Technology,Europe,Medium,Private
717790.12,507577.37,210212.75,1104685.13,753458.25,0.68,17661133.63,198.31,Manufacturing,Asia,Small,Private
512856.0,347256.44,165599.56,1043244.79,178771.74,0.17,10198891.03,156.49,Technology,South America,Medium,Private
284451.04,99756.01,184695.03,1418196.89,1228868.49,0.87,555027.22,137.1,Manufacturing,Africa,Small,Listed
356939.26,185971.02,170968.24,958523.04,768107.05,0.8,8801980.75,138.35,Manufacturing,Asia,Small,Listed
635919.55,390850.71,245068.84,1320436.74,1055138.97,0.8,15664085.99,105.72,Finance,South America,Large,Listed
353926.67,158686.73,195239.94,874658.9,640173.79,0.73,3903428.33,190.53,Technology,North America,Small,Listed
543291.72,408177.42,135114.3,1786928.78,1084436.03,0.61,10586095.04,253.9,Finance,South America,Small,Private
509114.37,345286.23,163828.14,825263.36,117800.76,0.14,8363630.12,86.94,Healthcare,South America,Medium,Listed
369679.93,329643.16,40036.77,726000.35,457337.18,0.63,9812627.56,122.94,Retail,South America,Large,Private
928788.82,753513.45,175275.37,959803.15,669502.84,0.7,7818778.24,165.52,Retail,North America,Small,Listed
626783.8,424901.55,201882.25,708792.44,145058.58,0.2,12515801.51,134.74,Finance,Africa,Large,Private
94971.48,-98221.73,193193.21,500537.43,296620.89,0.59,8886930.2,181.44,Retail,Europe,Medium,Private
537290.86,238283.14,299007.72,1291040.94,623694.11,0.48,13284317.42,106.84,Healthcare,Africa,Medium,Listed
367642.71,138897.41,228745.3,-225059.49,-107567.91,0.48,8161974.94,46.77,Retail,North America,Small,Private
670486.67,443964.08,226522.59,712986.66,185069.8,0.26,15592899.58,197.04,Technology,North America,Small,Listed
341495.85,223659.3,117836.55,463294.43,320391.52,0.69,10064756.74,188.48,Technology,Europe,Medium,Private
477052.71,295284.81,181767.9,1056867.76,887874.32,0.84,3963314.97,192.88,Manufacturing,South America,Large,Private
600997.46,425330.6,175666.86,124353.73,90808.4,0.73,5719703.02,248.14,Manufacturing,Europe,Medium,Private
673151.04,512455.1,160695.94,1219140.34,481835.69,0.4,4210437.89,126.07,Healthcare,Asia,Large,Private
259940.72,99934.75,160005.97,1262435.97,1120212.27,0.89,4494948.65,242.74,Manufacturing,South America,Medium,Listed
433099.75,323505.9,109593.85,346952.78,135775.2,0.39,3433933.74,226.07,Healthcare,Asia,Medium,Listed
405010.94,268803.6,136207.34,1076241.08,309461.38,0.29,4569906.9,135.25,Healthcare,Asia,Medium,Listed
369334.15,125629.48,243704.67,1206423.71,1054978.58,0.87,9972624.59,91.78,Technology,South America,Large,Listed
853090.85,660236.58,192854.27,1376120.15,1007117.97,0.73,13692323.29,101.04,Healthcare,South America,Large,Listed
580996.34,406316.46,174679.88,412428.27,292409.71,0.71,3236902.25,184.2,Technology,North America,Large,Listed
247823.21,48093.78,199729.43,356162.14,57678.88,0.16,5977043.94,97.39,Manufacturing,North America,Small,Private
